analytical_customer_id,is_gold,amt_total,afford_amt_total,order_count
0SJoKk6qhbShqtH-67c_5OiA,False,498.0,0.0,3
0SU0aPi2gSRG2FLwixt4HSWg,False,585.0,114.798,3
0Sd2kSu6_gRX6yMWuxvgXbLQ,False,281.0,0.0,2
0Sgjrf-2-pQH2HtU-64GRuBQ,False,1183.701,193.5562,13
0SkFeVVKszQAKK8TVqpD9m_w,False,1741.3600000000001,171.4,12
0StGJKzWtUTwWkCBzu-zAn0Q,False,42.0,0.0,1
0SztDY3etYTSegkL3ytvF30Q,False,986.5999999999999,50.0,6
0T6Q1oeeKsQ4ecTUe3DMrqZw,False,2526.38,34.0,8
0TKo5Qj6DvRs6AoBjnxhPCGQ,False,277.97,8.5,8
0TRavJeKYRRWKRcoeOQYgf4Q,False,50.0,0.0,1
0TSL8PieSCQTeTmwiZUwX2IQ,False,1126.29,334.172,9
0UQWS7TekwTPeLN8TpehDBhA,False,206.0,0.0,1
0US_1QX-JBSX-M0lX-wl95Kg,False,376.7,115.0,6
0UhSjtwSoEQuSaX2wm977d6g,False,48.0,0.0,1
0V4LECW6CyRF6D-4We9Jx33A,False,100.0,0.0,1
0VRfi5q60ZQ96-3Pq_e_NJwQ,False,135.0,70.0,1
0VVk_Y2aKUQ8aDai22LEcgiw,False,325.0,281.0,2
0VyRb_USusSgS9fvUNOKm9rQ,False,95.0,0.0,1
0W1-WBOq-8SAqvgZOEVhAWiA,False,208.0,35.798,2
0WHD4VwSw9T2S3_OwFuq8D7Q,False,7428.21,441.46000000000004,28
0WIzHcam2SROmbu5aBgkomMQ,False,328.49,30.0,3
0WJ_LjPmmaRymCsfP-8C6wNw,False,456.0,20.75,5
0WW87ui62eQl6VD8iOAsN4OA,False,169.29,0.0,1
0X8yNefWkTTYW_s2f3gW8PzQ,False,745.9,20.0,10
0XPTipYiWHQni5GRYQNP_Aug,False,170.0,0.0,1
0XQDyckmveS7mj_9kQ2Fd6sQ,False,439.49,50.01,7
0Xve-_uunURNuytPug85M0Zw,False,460.0,0.0,3
0Ya_v7vmO8Remr7Cv9GBhTrw,False,3868.37,26.0,59
0Yd-f30egPSoe8T80ba9vh4Q,False,254.0,144.0,5
0_BDT7Qav-TWazQRQZpQ-nQA,False,258.4,62.5,4
0_IXLf-m0yRxmf7m-1oLW33Q,False,247.98,0.0,1
0_p7-q2CTSTqCLkq2sKZJIeA,False,24.0,0.0,1
0_uSktBmr5T9mosjB-T7Deug,False,284.0,0.0,2
0_v6SsYqgFQdqVBeYvC-9IKA,False,179.0,0.0,2
0_vRwkqCQPQICM3tqduryZ4A,False,837.74,25.0,9
0_viORimoASpm2V7iiv3EeCw,False,137.37,0.0,1
0a6xuVL2pKSl23WrLu1iM6KA,False,680.8199999999999,51.254000000000005,7
0abURoWC3bSJCB58Wl4AWicQ,False,518.0,0.0,2
0anb8Hg2o0R52YLbggnwb96Q,False,85.0,46.0,1
0b_csapObQSMOO6Tpv6rxrFQ,False,2191.04,15.56,26
0cA3ZJ_y89RLyxwR_wYU2JAQ,False,264.0,100.0,2
0d7WjmRy9KQZy-czRMEb_UFQ,False,60.0,30.0,1
0dGyEoEKp6S7KQ76Eub8-DbQ,False,60.0,2.0,2
0eCBTWCm69QfmurPCElurXnQ,False,60.0,0.0,1
0eH1BUMmYETamG_MMYG2zq1w,True,165.0,50.0,1
0eT7E0e-5xQs-aQneeWmUOiA,False,1344.99,19.996,6
0edKZ-5-QZSO-Mv650tBG2Fw,False,571.5,0.0,3
0euQvJviKTQqiOUmvUy_W4AQ,False,1463.72,0.5,16
0ev67l8i_4RGijTp8haMLuow,False,551.0,84.0,10
0fEZlOLemOQTex7CLVp-efMA,False,1702.68,432.0,6
0fLHh6UOykRdOYqOUlV0q0Bg,False,326.78,0.0,2
0fOR_YgixxQCiAJ4g0VWReuQ,True,1070.9,298.5,13
0fQQKyIiDuSTiEJYIuW1vJgw,False,414.0,100.0,2
0fatTw8yHhS4yw8Q8VVTOtpw,True,1371.0,450.0,15
0ffVwY86lBTy67Pk8JJIzUEA,False,307.0,105.0,4
0fj-LZymsPQPmqcJyXMeqo_A,False,973.0,20.0,2
0gUi7zTmjZTLm2CtT3gRfZvA,False,122.0,0.0,1
0gjlLj6C5eQYCU6B6yk6WzUw,False,2165.246,836.72,17
0hQL0QaaHRQ9a-uuaqUotuJQ,False,252.25,96.55,3
0hdkfxw-cfRm-Bc2wWZ2mPKg,False,109.0,0.0,1
0iACIN5-HGRb-TPt559cAtVQ,False,235.48,0.0,1
0imJjHfOztRXOsbAf68kTXYQ,False,114.0,75.0,1
0irgPKticxRvigkmtAa5h4DA,False,115.0,0.0,1
0isu1u-eFKTveeHj-l0l97_w,False,314.0,150.0,3
0izmvsNqzpSfqHnYNuNmgfww,False,3711.64,82.15,27
0j0xfMLi2cQ8iYYqLFTF2WIw,False,716.0,459.0,6
0j5ib1zSyXTaSw9lzqqnfvmg,False,498.75,278.1,5
0jf2FjTS2NRVSS8ZTzgYiYRA,False,1309.34,525.76,12
0jhjmT3GzUTCGDGL3s-KQjMQ,False,1982.9,10.0,19
0krX4u06QfTM6HaV0P0Ns1FA,False,562.0,115.0,6
0kx13gDyHDTly-4YD7MYJ1GQ,True,501.67,254.0,4
0l7ahSJyOSR5yEUEJki0qgLg,False,366.6,129.3,3
0lKADIb2QcRm2ca9bIRTmgFA,False,4571.27,159.576,31
0lbFKeBaApR8a_KjBtmBko9Q,False,343.95,230.0,2
0mOZR0u24hQY2At5ux5wJE-Q,False,357.77,0.0,2
0mQ6mCsqejSuqisCsRdYxN7A,False,132.0,0.0,1
0mTca902iJRx2Lhe0vsQHkpg,True,19995.48,1551.282,126
0nAn9ff-7oQt-44mfJujnpVg,False,825.6902,0.0,4
0o6ohQ9ilXQQiXLo93-f3FnA,False,246.85000000000002,124.0,3
0o8L170CPCRMCyfZ0TztGcTQ,True,11753.6776,713.358,43
0oE06crmsuRVmsIrrXw1t3ww,False,97.0,0.0,1
0oiH3QSmByS2mhRxSD7U3JPg,False,1299.0,50.0,7
0p1LVzbqOLTNqFD4b9sGPN0g,False,356.82,0.0,1
0pP8p7heXBSTepIchy2WLixw,False,127.0,70.0,1
0pmch6h-bdQe-MLDhvZBHadg,True,522.3912,213.57,4
0poxksduiqRxuDJ6dxF_Zpxw,False,4689.6,808.2,33
0q9sPb4-2ZSq-Cmd4neJ49lg,False,45.0,40.0,1
0qHZhyr-3iR6-MvPr4cmrPYg,False,215.0,60.0,1
0qKcEY4Ov3RTOKbi4r1eEyqQ,False,255.0,0.0,2
0qXW3Mr6aVQs6pnqr9Ag3nnA,False,135.9,80.0,1
0qrh7ppeJsTXeJm7p6_Cs-fg,False,80.0,35.0,2
0qu4HIuekuRpe6Mxu9yyHZAw,False,256.0,0.0,1
0qwfCz56W6TK641F5G4jhmUg,False,148.2,0.0,1
0rb8zXIaoXT1ai3AI61xLRLg,False,300.75,0.0,3
0s7cGlku5ZRtuCgAk5_pLqGA,False,225.0,115.0,1
0tCl9vRexFS4ej6oRvBTKfkA,False,199.0,69.0,1
0tFZcT8qIxTwqPgi8JkJuIjg,False,7278.77,93.0,82
0u4OLMWSafRJSW3VWwXjv01w,False,202.01,2.47,1
0u5ol_9qf5RfqBLd9jRrQYCA,False,604.99,0.0,4
0uDKpmzmJAS3mILOzprJDOYg,False,968.47,160.0,3
0v6XGkwGh9R5GX-lwkP6X4tg,False,43.0,0.0,1
0vUee8Rm4PTrm2cjRydLPWGg,False,1216.87,50.0,6
0vrxf5QyJeRSysKwQ38Y1CZQ,False,2575.11,88.298,22
0vynWelOEGRbOPoFllZHvdEg,False,30.5,0.0,1
0wOKpkaWpTRWWHklazS0oTTA,False,507.4996,74.15792,2
0wSDYgW6EDSp6RSFWqsHhDAw,False,142.0,0.0,1
0wWVB7ZCTfRIC6waZDX6tw_w,False,359.1,50.0,2
0wwhi3Iq5MQYqOg9IAbhlO5Q,False,122.55,70.0,1
0xLB-IrqSVT1qqNYr0ew_4Gw,False,260.44,130.0,2
0xoUQ88G75TCGwX28OFkAlUg,False,88.0,40.0,1
0yMDlTUKC0TzKFBIUoLwqL1g,False,278.0,140.998,3
0ybbqE_qteSyqLVr_xY5NacQ,False,87.0,0.0,1
0zGYlIamv7T2mspqa3OgZp9A,False,563.0,260.6,5
0zjBvk22uxT2270z2fo2wQYg,False,402.0,180.0,4
1-2mjWj-LcQ2-S6IjkcG6QvQ,False,150.85,70.0,1
1-lVu6qCqyS_Cdf4qGxvylaw,True,3169.85,75.0,31
10CQlIoCZ-TSC-YpodwfQbHQ,False,1094.3,371.75,11
10F3XvMSPtQYSj7VMKClE1fg,False,851.9,0.0,5
10hoP4Du4tQbu5PcDJAfKb6w,False,4547.42,1257.1,24
10m9mQ6ypHRsy5t06L7YL1gw,False,2465.37,53.0,44
10oOnsJacyQMakhsJXSvW9JQ,False,407.0,0.0,3
115do2dK43SCK6_kd0ovpOTw,False,3380.94,161.07999999999998,10
11jx4jaq4FRUqfGYaVXxQApQ,False,96.0,4.0,1
127HeTBOBGSOOpXPBClVqm2g,False,738.0,60.0,5
13gHTaomZhTHmjLpoNQlA94g,False,286.0,135.8,3
1420MHxGyGRQGCNHxUD5O6sw,False,420.0,102.0,4
14YEDltq0aQdq7fytyyQ7OhA,False,1262.0,0.0,2
14_r9GMe_MTbevM6Mbv1nnnQ,False,211.0,0.0,1
14feiV36L4RX6TZx3YrtnIvA,False,3433.1334,356.85,13
158FEVHu3yTYu6dGH-ZHSOpg,False,6642.02,113.19,39
15h016QOUUQJOys3Qwi3zMUQ,False,364.28,135.42000000000002,4
15puUk5KDyT4K7Ww5lasHsAw,False,1084.6306,31.79,11
15q1VuVWjLSjWX0WVxjCXJgw,False,220.0,0.0,1
16LVq8uKMSTzKGwYuZ4w0mKg,False,1702.71,0.0,14
16QzhpUmTrRFmtoqUUS8e04w,True,9333.64,876.6,53
16c44KVub6T7u7hrV-rXfj3g,False,120.0,70.0,1
16i9zdJykXRtyMiIJ_5kt6MA,False,208.0,0.0,1
16uBaLsu-pRluPJbsi7WAQbQ,False,139.98,70.0,1
17-RVCfyvRRoyA4NfLGtFj5g,False,3279.2772,222.398,15
17IdZblqJJS-qceDl8YyyxEQ,False,581.25,0.0,2
18CjwRh6BHQR6jKFhlZaLDLQ,False,200.0,0.0,1
18Sx9SlSJRQiSFuFlGBgSz1A,False,43.0,0.0,1
18Tn6ilCX6QCC2gSlF3eu1MA,False,3203.42,18.5,19
18jP0C_aIWSnaBg1_4jsYYFw,False,47.0,0.0,1
